"state","region", "region.abb"
"Colorado","Northeast Colorado", "NE CO"
"Colorado","Southeast Colorado", "SE CO"
"Colorado","Southwest Colorado", "SW CO" 
"Colorado","Mountains and Northwest Colorado", "MNW CO"
"Nebraska","Eastern/Central Nebraska", "E/C NE"
"Nebraska","Platte Valley Nebraska", "PV NE"
"Nebraska","Western Nebraska", "W NE"
"Wyoming","Eastern Wyoming", "E WY"
"Wyoming","Central and Western Wyoming", "C/W WY"
"Montana","Montana", "MT"
"Montana","South Central Montana", "SC MT"
"Montana","Northern Montana", "N MT"
"South Dakota","East River", "E SD"
"South Dakota", "West River", "W SD"
"South Dakota","Corsica", "Corisca"
"Texas","Panhandle/High Plains", "P/HP TX"
"Texas","Far West Texas/Trans Pecos", "FW/TP TX"
"Texas","North, Central, and East Texas", "NCW TX"
"Texas","South Texas", "S, TX"
"Oklahoma","Central Oklahoma", "C OK"
"Oklahoma","Western Oklahoma", "W OK"
"Oklahoma","Eastern Oklahoma", "E OK"
"Kansas","Southwest Kansas", "SW KS"
"Kansas","South Central Kansas", "SC KS"
"Kansas","Southeast Kansas", "SE KS"
"Kansas","Northwest Kansas", "KW KS"
"Kansas","North Central-Northeast Kansas", "NC/NE KS"
